Unnamed: 0,County_Name,State_Name,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,2015_Median_AQI,2015_Binning
22,Pinal County, Arizona,"135,816","3,873","8,276","13,297","2,925","17,269","4,758","2,064","9,804","13,236","29,677","14,646","5,301","10,690",63,3
39,Imperial County, California,"59,958","5,167","4,076","1,629","1,050","6,957","4,157",481,"1,541","3,823","17,210","5,179","2,571","6,117",63,3
148,Hawaii County, Hawaii,"84,143","3,029","8,316","1,302","1,713","10,640","4,657",880,"5,273","8,014","16,651","11,453","4,813","7,402",58,3
199,Scott County, Iowa,"84,327",888,"6,102","15,410","2,345","9,078","3,950","1,446","5,417","6,541","18,302","9,457","2,778","2,613",56,3
59,San Luis Obispo County, California,"128,903","4,059","9,683","8,955","2,099","15,230","6,083","1,527","5,732","12,658","32,583","17,127","5,686","7,481",53,3
420,Summit County, Ohio,"264,497",591,"11,193","40,694","7,884","34,866","10,838","5,255","18,964","28,282","61,743","26,091","11,401","6,695",52,3
34,Butte County, California,"92,602","4,174","5,341","5,543","1,277","12,071","2,192","2,172","4,783","8,877","25,242","14,564","3,008","3,358",52,3
455,Dauphin County, Pennsylvania,"133,305",644,"5,322","11,005","4,160","15,216","7,936","2,329","10,159","11,737","32,570","13,256","5,662","13,309",50,2
406,Hamilton County, Ohio,"392,385",801,"16,057","45,788","9,646","46,858","18,803","6,508","33,616","48,343","99,117","38,849","15,585","12,414",50,2
467,Northampton County, Pennsylvania,"148,305","1,047","7,032","21,733","4,002","17,784","9,268","3,078","7,299","14,088","39,515","11,601","7,046","4,812",50,2
471,Washington County, Pennsylvania,"98,883","4,437","6,914","11,617","2,593","11,975","4,460","1,284","6,262","10,287","23,438","8,551","4,471","2,594",50,2
327,Bernalillo County, New Mexico,"309,526","3,523","20,692","11,312","8,002","38,423","9,051","6,179","15,760","45,730","77,493","36,966","17,057","19,338",49,2
