County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Baldwin County, Alabama","77,263","1,302","6,489","6,134","2,131","9,525","3,557",940,"5,893","9,873","14,753","8,257","3,575","4,834",,5.30%
"Calhoun County, Alabama","42,768",337,"1,371","7,868",750,"5,706","1,626",779,"2,234","3,776","8,351","3,799","2,440","3,731",,11.60%
"Cullman County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,3.90%
"DeKalb County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.60%
"Elmore County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.10%
"Etowah County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.70%
"Houston County, Alabama","45,470",790,"2,967","4,237","1,897","6,225","2,838",670,"1,980","3,458","9,843","5,200","2,658","2,707",,4.80%
"Jefferson County, Alabama","289,454","1,761","17,682","27,091","8,859","34,024","14,727","8,309","25,021","29,164","67,630","26,357","15,828","13,001",,6.90%
"Lauderdale County, Alabama","39,581",946,"3,579","4,285","1,364","6,047","2,474",439,"1,771","2,710","8,624","3,551","3,148",643,,11.80%
"Lee County, Alabama","63,718",763,"3,315","7,701",765,"7,232","1,976","1,198","3,862","4,520","18,639","7,234","3,187","3,326",,6.60%
"Limestone County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.60%
"Madison County, Alabama","156,411",569,"9,917","18,415","2,697","15,082","4,612","4,594","7,674","28,194","31,686","12,588","7,637","12,746",,7.10%
"Marshall County, Alabama","39,438",564,"3,866","8,567","1,635","5,280","1,069",827,"1,374","2,421","7,018","1,647","1,809","3,361",,8.40%
"Mobile County, Alabama","170,552","2,025","10,788","21,036","5,355","22,541","9,296","2,413","8,469","17,946","38,617","17,012","8,326","6,728",,5.80%
"Montgomery County, Alabama","99,081",535,"3,959","9,332","2,467","11,904","3,929",833,"5,802","9,252","20,680","10,844","6,779","12,765",,6.10%
"Morgan County, Alabama","53,198",495,"3,745","11,347","1,692","5,495","3,281",783,"2,244","5,808","7,868","6,052","2,530","1,858",,6.90%
"St. Clair County, Alabama","35,991",385,"2,902","4,557","2,055","4,935","2,201",697,"2,000","2,932","6,655","1,684","1,929","3,059",,4.90%
"Shelby County, Alabama","97,212","1,352","7,570","6,349","3,661","14,025","3,609","3,074","10,130","12,006","18,850","7,566","4,696","4,324",,3.50%
"Talladega County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.60%
"Tuscaloosa County, Alabama","85,616","1,946","7,675","9,310","1,941","9,871","3,066","1,688","4,077","7,110","23,788","7,716","4,465","2,963",,3.70%
"Walker County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.30%
"Anchorage Municipality, Alaska","144,265","3,948","8,275","3,041","3,124","17,224","11,963","3,450","7,661","14,251","32,365","13,992","6,591","18,380",,6.10%
"Fairbanks North Star Borough, Alaska","45,393","2,368","4,517","1,050","1,430","4,399","2,796",821,"2,439","2,970","11,431","3,704","1,852","5,616",,4.10%
"Matanuska-Susitna Borough, Alaska","39,263","2,746","4,415","1,157",456,"4,706","2,073",831,757,"3,159","9,592","2,864","1,641","4,866",,4.50%
"Apache County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.60%
"Cochise County, Arizona","48,470","1,005","2,719","1,147","1,811","4,935","2,557",639,"1,697","5,887","10,317","5,204","2,168","8,384",,7.80%
"Coconino County, Arizona","59,481","1,057","3,239","3,682",507,"7,699","3,410",618,"1,981","3,626","16,638","9,430","2,844","4,750",,7.20%
"Maricopa County, Arizona","1,673,777","10,374","110,893","135,976","45,665","210,496","88,220","34,315","152,074","203,692","364,334","165,940","76,649","75,149",,8.90%
"Mohave County, Arizona","72,433",814,"5,585","3,855",787,"11,356","4,309","1,335","3,754","3,670","15,279","13,699","2,766","5,224",,7.20%
"Navajo County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.00%
"Pima County, Arizona","412,292","3,711","23,958","29,763","5,998","51,249","13,845","7,694","20,419","50,655","107,016","46,766","24,140","27,078",,7.40%
"Pinal County, Arizona","132,869","2,521","12,261","9,604","2,841","19,050","7,142","2,628","8,077","13,423","26,202","10,872","6,350","11,898",,8.80%
"Yavapai County, Arizona","79,070","1,986","5,458","3,634","2,189","10,348","2,559","1,359","5,447","8,338","17,351","12,467","3,635","4,299",,3.70%
"Yuma County, Arizona","68,598","6,069","3,504","2,672","1,943","8,865","2,187","1,116","1,390","6,379","13,237","9,833","3,122","8,281",,6.50%
"Benton County, Arkansas","101,933","2,710","6,275","15,032","1,700","23,913","5,364",978,"3,704","8,774","17,970","8,073","4,237","3,203",,3.90%
"Craighead County, Arkansas","42,183","1,087","4,200","6,288","1,189","4,937",939,511,"2,199","2,263","12,185","3,422","1,899","1,064",,2.50%
"Faulkner County, Arkansas","53,068","2,304","3,662","4,220","1,130","5,818","3,077","1,103","2,888","5,158","13,043","5,206","2,538","2,921",,4.00%
"Garland County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.10%
"Jefferson County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,4.50%
"Lonoke County, Arkansas","31,106",784,"3,093","2,573","1,332","4,306","2,147",491,"1,455","2,466","5,924","1,616","1,753","3,166",,3.20%
"Pulaski County, Arkansas","177,729",929,"8,180","12,574","4,541","17,538","9,592","4,261","11,816","17,717","51,634","17,720","8,759","12,468",,5.20%
"Saline County, Arkansas","49,447",281,"4,154","3,577","1,959","6,677","1,979","2,306","3,201","3,681","12,667","3,359","2,271","3,335",,6.30%
"Sebastian County, Arkansas","55,223","1,388","2,238","10,468","1,560","7,884","3,154",373,"1,668","2,662","13,411","5,683","2,496","2,238",,7.00%
"Washington County, Arkansas","96,558","2,271","6,013","15,319","3,511","12,501","4,481","1,499","4,380","7,151","23,190","8,977","4,341","2,924",,4.90%
"White County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.80%
"Alameda County, California","699,389","1,936","36,459","74,342","23,531","71,978","37,659","21,330","40,478","113,728","157,244","56,708","35,947","28,049",,5.70%
"Butte County, California","88,041","2,925","4,578","5,389","2,197","12,104","3,661","1,695","4,209","10,004","24,315","8,733","4,482","3,749",,6.00%
"Contra Costa County, California","480,363","3,392","31,364","37,735","13,364","49,304","26,338","16,307","44,089","66,688","106,913","38,828","26,126","19,915",,6.10%
"El Dorado County, California","78,614",856,"6,080","5,394","1,437","8,111","2,582","1,491","5,857","10,867","14,943","10,163","3,971","6,862",,3.30%
"Fresno County, California","363,891","36,019","20,052","22,445","13,572","44,280","16,947","4,492","20,988","33,642","81,279","30,470","17,149","22,556",,8.80%
"Humboldt County, California","61,379","2,228","5,013","3,629","1,458","8,744","2,607","1,346","2,724","4,496","13,483","9,096","3,179","3,376",,5.70%
"Imperial County, California","56,573","3,990","3,733","3,828","1,835","5,957","4,539",891,"2,344","3,515","13,273","3,756","2,722","6,190",,5.40%
"Kern County, California","310,764","48,124","18,675","15,711","9,392","36,365","14,899","3,188","12,916","27,057","61,275","24,801","15,830","22,531",,5.60%
"Kings County, California","52,477","9,245","1,958","3,859","1,805","5,009","1,046",209,"1,542","4,213","10,233","4,281","1,750","7,327",,6.80%
"Lake County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.10%
"Los Angeles County, California","4,391,268","24,261","235,752","473,710","159,909","468,911","227,934","188,861","279,308","545,308","921,140","436,463","269,174","160,537",,7.40%
"Madera County, California","54,262","11,933","2,742","4,447","1,122","6,193","2,946",870,"2,561","2,407","10,971","2,953","2,114","3,003",,8.80%
"Marin County, California","119,487",640,"6,769","6,563","3,006","12,192","3,051","3,248","12,374","22,050","27,193","11,701","6,654","4,046",,7.30%
"Mendocino County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.10%
"Merced County, California","94,048","11,660","5,109","10,231","4,241","12,277","4,421","1,329","3,193","5,328","19,278","7,480","4,604","4,897",,4.30%
"Monterey County, California","175,878","26,052","9,987","8,457","4,334","21,896","5,566","2,714","8,078","16,515","33,312","17,801","10,135","11,031",,6.00%
"Napa County, California","62,966","4,341","3,482","7,629","2,265","6,491","1,697","1,204","3,858","5,752","12,983","7,471","2,978","2,815",,6.20%
"Nevada County, California","42,705",749,"3,651","2,711",741,"5,659","2,045","1,041","3,278","4,083","9,457","4,502","2,209","2,579",,6.60%
"Orange County, California","1,414,260","5,759","81,763","194,612","55,250","157,885","47,279","29,325","126,127","189,056","261,950","142,182","75,302","47,770",,8.20%
"Placer County, California","151,654",726,"11,286","10,868","3,886","21,120","8,420","2,908","13,411","18,506","31,845","11,222","6,180","11,276",,3.40%
"Riverside County, California","854,828","14,996","68,272","75,925","30,577","118,193","46,043","14,982","46,462","84,225","171,551","92,612","45,377","45,613",,6.80%
"Sacramento County, California","595,578","3,978","36,186","35,357","16,876","70,621","24,799","12,303","41,920","65,924","134,284","52,028","29,908","71,394",,5.80%
"San Bernardino County, California","791,365","7,431","59,904","82,634","30,002","100,778","56,472","11,514","42,668","67,683","179,358","70,290","36,043","46,588",,6.90%
"San Diego County, California","1,348,077","11,966","81,976","122,534","35,581","142,231","52,298","29,014","90,724","196,020","282,931","144,594","73,152","85,056",,8.30%
"San Francisco County, California","446,665","1,130","16,023","29,079","10,024","42,315","15,012","17,971","38,414","89,930","88,869","54,107","25,468","18,323",,8.30%
"San Joaquin County, California","264,858","12,810","17,438","27,430","10,822","28,767","16,781","5,011","12,825","25,012","57,784","23,977","12,201","14,000",,7.60%
"San Luis Obispo County, California","116,949","4,759","9,382","7,791","2,074","15,981","4,301","3,772","4,372","13,269","25,458","13,722","5,053","7,015",,3.90%
"San Mateo County, California","362,295","2,788","21,010","26,993","9,701","33,553","20,839","10,566","29,568","59,578","79,507","33,464","20,337","14,391",,6.40%
"Santa Barbara County, California","187,202","18,031","9,717","15,318","4,821","18,284","4,649","4,444","8,259","21,276","41,292","21,402","9,932","9,777",,6.20%
"Santa Clara County, California","834,009","5,591","42,199","156,189","18,133","88,192","20,789","30,861","41,459","153,969","160,641","57,324","37,362","21,300",,6.50%
"Santa Cruz County, California","117,481","7,667","8,233","9,514","3,041","12,295","3,792","2,254","4,943","13,842","28,318","13,793","5,821","3,968",,3.70%
"Shasta County, California","64,021","2,130","4,562","3,837","1,771","6,237","3,623","1,306","4,626","6,214","18,024","5,330","3,184","3,177",,5.80%
"Solano County, California","180,913","3,036","10,186","17,511","5,070","18,728","11,855","3,880","13,646","14,521","39,419","20,652","7,121","15,288",,5.50%
"Sonoma County, California","227,836","5,278","16,982","22,332","6,951","31,387","8,049","5,209","13,553","24,793","45,633","23,787","12,927","10,955",,5.20%
"Stanislaus County, California","198,972","11,321","14,636","26,716","9,122","26,086","9,314","2,618","7,241","13,653","45,076","15,053","10,521","7,615",,6.00%
"Sutter County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,4.10%
"Tulare County, California","169,217","31,291","9,511","11,423","9,748","19,518","8,111","1,548","6,049","10,851","30,438","11,344","7,846","11,539",,8.00%
"Ventura County, California","387,454","17,808","21,334","36,769","15,180","43,469","12,723","9,869","32,303","48,004","72,035","35,369","17,832","24,759",,5.30%
"Yolo County, California","86,907","4,109","4,282","3,611","1,763","8,673","3,474","2,040","4,140","8,727","27,357","7,185","3,995","7,551",,4.50%
"Yuba County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,3.30%
"Adams County, Colorado","205,967","3,008","21,591","17,921","9,694","23,658","15,549","5,678","12,909","24,597","30,710","18,867","11,488","10,297",,6.40%
"Arapahoe County, Colorado","290,348","2,512","20,615","15,962","8,620","36,778","15,851","11,832","26,986","38,911","56,572","29,666","13,614","12,429",,5.60%
"Boulder County, Colorado","153,738","1,272","6,880","18,833","3,637","13,719","3,904","4,814","7,602","27,184","36,567","17,178","7,797","4,351",,4.90%
"Denver County, Colorado","301,802","2,992","20,879","18,646","8,827","27,807","10,990","11,353","23,986","51,414","60,833","36,967","15,328","11,780",,7.10%
"Douglas County, Colorado","147,755","1,621","9,417","10,973","3,361","17,379","5,386","9,439","18,094","22,649","26,432","9,757","6,824","6,423",,3.50%
"El Paso County, Colorado","275,722","1,220","18,952","20,234","4,168","32,550","11,020","7,168","16,748","37,261","60,661","30,805","16,665","18,270",,5.70%
