County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Autauga County, Alabama","24,580",206,"1,847","2,721",798,"2,624","1,391",270,"1,349","2,411","5,013","2,075","1,233","2,642",,10.30%
"Baldwin County, Alabama","98,768","1,776","7,922","9,608","2,700","13,434","5,085","1,090","7,504","10,573","19,056","9,793","4,970","5,257",,12.50%
"Barbour County, Alabama","8,707",500,523,"2,091",179,930,492,68,341,444,"1,619",571,329,620,,11.50%
"Bibb County, Alabama","8,303",392,781,"1,211",260,898,516,119,416,584,"1,862",272,515,477,,13.60%
"Blount County, Alabama","22,836",378,"2,094","3,968",949,"2,376","1,736",225,"1,367","1,708","4,853","1,122","1,201",859,,17.00%
"Bullock County, Alabama","4,007",105,293,"1,563",37,218,166,53,67,129,565,323,135,353,,17.50%
"Butler County, Alabama","7,971",231,311,"2,036",136,808,356,76,407,496,"1,434",810,441,429,,16.30%
"Calhoun County, Alabama","47,905",626,"2,487","8,659","1,260","6,315","2,074",599,"1,821","3,318","10,856","4,068","2,115","3,707",,10.40%
"Chambers County, Alabama","14,724",334,614,"4,469",299,"1,286",776,318,631,"1,149","2,685",979,545,639,,9.80%
"Cherokee County, Alabama","10,310",338,954,"2,284",126,"1,071",594,69,364,381,"2,413",642,518,556,,11.50%
"Chilton County, Alabama","17,752",393,"2,626","2,578",651,"2,337","1,162",131,"1,287","1,015","2,873",770,"1,051",878,,12.50%
"Choctaw County, Alabama","4,427",374,336,738,103,652,200,34,137,159,"1,077",271,173,173,,10.70%
"Clarke County, Alabama","8,166",409,768,"1,682",124,990,489,51,418,353,"1,757",409,427,289,,14.90%
"Clay County, Alabama","5,389",132,368,"1,619",63,746,295,31,213,235,"1,053",245,173,216,,8.20%
